User,Content,Date
@RFfromMass,Try to get your nose out of Elon’s butt. This launch site was a goddam mess.,"Apr 22, 2023 · 3:30 PM UTC"
@socmediafailure,"Ron is gonna offer him tax breaks on SpaceX shit and Elon is gonna be like, “I think Ron DeSantis is a passionate leader,” and Blues will be like, “Ron wins this now”

Two days later Trump will be like, “I don’t know, Bacardi Ron, can’t call him Meatball,” and go +8 overnight","Apr 22, 2023 · 3:17 PM UTC"
@PapaLalaBear1,"Launch pad designed by Elon. Launch pad caused the rocket to blow up . Had launch pad been designed by engineer rocket would have flown around the world . Elon fucked up, again . Elon, listen to the engineers …","Apr 22, 2023 · 2:52 PM UTC"
@RosternScott,Gwynne Shotwell probably. Funded by shareholders and SpaceX profits.  Elon just loves doing the hardcore engineering.,"Apr 22, 2023 · 2:35 PM UTC"
@ledgund,"He's just some dude, knows more than the bright sparks at SpaceX though. He must be worth liste...... nah wait. He's boring me with his anti anything Elon shite.","Apr 22, 2023 · 1:44 PM UTC"
@SRXWRLDX999,"Elon Musk n his plans for Twitter suck sometimes, SpaceX n Tesla are exception.","Apr 22, 2023 · 1:30 PM UTC"
@captainangry631,Elon put it in that Spacex rocket that went up to shit.,"Apr 22, 2023 · 10:47 AM UTC"
@VoXBoXRambling,"The comments that are hating on it are bait or people on the hate train. There's no real reason for any of it outside of 'Elon bad'.

Shame it failed - to seperate of all things. The fact it was able to still launch with so many engine failures is a fucking marvel of engineering.","Apr 22, 2023 · 10:16 AM UTC"
@krypto,Please don’t let your (justified) dislike of Elon Musk trap you into believing any old shit. The SpaceX launch was not on 4/20 for jokes. It wasn’t rushed such that the launchpad wasn’t ready(?!?). This is not how anything works.,"Apr 22, 2023 · 8:29 AM UTC"
@tedvga,"I think Elon Musk/SpaceX are probably keeping notes on these ""Oopses"" better than anyone else. Like anyone that has the guts to try new things.","Apr 22, 2023 · 8:27 AM UTC"
@Christo19295154,"Come on, Bette. Elon Musk has done some cool things. SpaceX has been fun and wonderful to watch. You're contribution to society won't even be remembered. All that anyone under 60 knows you for is losing your shit on Twitter.","Apr 22, 2023 · 8:02 AM UTC"
@tedvga,"It's so easy to criticize, while tweeting on the sofa! Elon Musk is (like we all) far from perfect and does (like we all) darn stupid things as well, but credit where credit is due.  Go to SpaceX, walk around there and talk to people. 
or to NASA in the 60s. Incredible people!💐","Apr 22, 2023 · 7:55 AM UTC"
@CryptoPants87,It’s not though. Twitter 2.0 sucks. So does MSM. Elon and MSM both suck together. You are not making progress you’ve literally just moved sideways.,"Apr 22, 2023 · 6:38 AM UTC"
@FyfeStephane,i would never accept that humanity dies and you all live on mars. i would blame it all on your useless actions.. lol i would make sure all sentient beings in the universe live off your back elon...i'm not joking this is pure bshit i prefer swearing at you all at this point! 🤪,"Apr 22, 2023 · 6:33 AM UTC"
@LAHaggard,"Like just look up how SpaceX got funded. Elon risked a huge amount of personal capital instead of fucking off to a beach with his tens of millions. Revolutionized the industry, enabled NASA to do far more. Good. Things.","Apr 22, 2023 · 5:11 AM UTC"
@Scribble1k,i feel so bad for my girlfriend shes just a little rockets puppy fighting for her fucking life trying to explain how the starship stuff is pretty par for the course and elon has basically 0 involvement with spacex,"Apr 22, 2023 · 4:51 AM UTC"
@optimatessuck,"Smashing Success!  The whole of the first stage performed well until separation.

It's disturbing to see the US Media deliberately ""Forget"" to leave Elon's pre-launch success standards out of their ""It exploded"" articles.","Apr 22, 2023 · 4:17 AM UTC"
@SazeracNELA,"SpaceX could succeed beyond our wildest dreams because of the quality of the engineers working for them, if they weren’t owned by Elon fucking Musk.","Apr 22, 2023 · 3:47 AM UTC"
@71RedScorpion,Pipe dreams! That was a 4/20 pun! Sorry Elon much respect for ya...but some of the shit your getting yourself I to could be used towards something worth wild! Just my thoughts! 😳,"Apr 22, 2023 · 2:28 AM UTC"
@driver1point8,"Starship will be the undoing of SpaceX. You are correct, the blame will be laid at Elon's feet and I will like it.","Apr 22, 2023 · 2:16 AM UTC"
@WenbergDan,"Starship kicked Ass Elon, I mean SpaceX","Apr 22, 2023 · 1:33 AM UTC"
@FishExploding,They're implying that bringing up SpaceX's major successes is sucking on Elon. Please don't speak.,"Apr 22, 2023 · 1:24 AM UTC"
@Tedcruzsabitch,Tesla and spacex lost value when Elon smoked weed on Joe Rogan. And that shit didn’t stay that way. AB will be fine.,"Apr 22, 2023 · 1:03 AM UTC"
@OnesieInd,"That’s a CIA/Boeing project, more than it a spacex one. Before Shotwell decided to go all in covering up Elon’s sex crimes, she was part of the Boeing team that was building what ultimately got branded as Falcon.","Apr 22, 2023 · 12:39 AM UTC"
@RobertGarito,"The way I look at it is that Elon sucks.  BUT, his engineers do not.  If it wasn't for his engineers, he'd be flipping burgers somewhere.  I've heard that SpaceX's engineers are overjoyed that he's occupied with Twitter so he stays out of their hair...","Apr 22, 2023 · 12:20 AM UTC"
@judeglass3,Lol you guys are so weird. Never said a damn thing about Elon or SpaceX being bad. I like SpaceX and want it to succeed. It is just so strange to fight the simple statement that they did not intend for the rocket to explode. But there is truly no simp like an Elon simp 🤷🏻‍♂️,"Apr 22, 2023 · 12:03 AM UTC"
@LetsGoToMars4,"The OLM got heavily damaged. With steel plates able to be put under the mount along with new flame retardant concrete, perhaps the second launch attempt could withstand with a flame diverter aiming away from the OLM. We'll see how Elon and SpaceX overcome this next month.","Apr 21, 2023 · 11:53 PM UTC"
@LeoardodaVinci,"pondering to the anti-SpaceX/Elon crowd... pathetic coming from a hypersonics engineer coming from a PHD backround while being a fuckin DOCTOR! I dunno what drive this bias, I wish I'd know.","Apr 21, 2023 · 11:45 PM UTC"
@hezymoi,I wish our media wasn’t so ass and I wish Elon wasn’t a dickhead cause the work going on with  SpaceX is civilization-defining. The rocket launch the other day will be one of the most important events for America and humanity’s  journey to becoming a space-faring. Incredible shit,"Apr 21, 2023 · 11:33 PM UTC"
@Barnacules,"No, what NASA engineers are doing at SpaceX under Gywen Shotwell’s leadership is amazing 👍🏻 Elon Musk is focused on Twitter, MEMEs, crypto scams & really bad politics. Same story with Tesla and Franz Von Holzhausen. Never research your heros or you’ll find the truth & it sucks 🤦‍♂️","Apr 21, 2023 · 10:54 PM UTC"
@rudreais,"it's as accurate as when he said the explosion from the spacex launcher was ""expected""! surprising from an elon sucker","Apr 21, 2023 · 10:35 PM UTC"
@Cadelson3,"Elon Musk loses $13 billion in 24 hours after SpaceX rocket explosion and disappointing Tesla earnings 

You touch it, you fuck it up

Rocket
Telsa
Twitter

Nice going fuck nuts. Pollution on the Air AND Ocean","Apr 21, 2023 · 10:33 PM UTC"
@patrick_sewall,"And congrats for making yourself look like a horse's ass yet again. No amount of spin control will hide the fact that your launch was a failure. Did you hear me, Elon? FAILURE. It was just mirroring the financial performance of your Tesla brand… Up, then crashing straight down.","Apr 21, 2023 · 10:23 PM UTC"
@StdenisKatie,"SpaceX rocket goes boom-boom... just like Elon's reputation goes boom-boom.
Karma, baby, karma :-)","Apr 21, 2023 · 10:22 PM UTC"
@StopGirlWX,if elon focused on spacex and didnt spend 90% of his day fucking up twitter maybe this would have worked,"Apr 21, 2023 · 9:49 PM UTC"
@Vnoone27V,I really love see post from people who've never accomplished anything in their lives shitting on Elon and the fact that SpaceX just sent the largest rocket ever into off the launch pad. Weak jealous lefties make me laugh,"Apr 21, 2023 · 9:41 PM UTC"
@VFXPilot,"Old territory and old engineering, in use for decades. And they work better than not having anything. They did, however, require a review from the corps of engineers. In typical Elon fashion, he didn’t want to wait and thought he knew better. Possibly motivated by SpaceX funding","Apr 21, 2023 · 9:31 PM UTC"
@ilyasgnnndmr,I believe SpaceX was found with a secret sauce camera.  It's just that Elon may not be giving permissions to release. @elonmusk,"Apr 21, 2023 · 9:25 PM UTC"
@ThePeoplesFeral,"The plan was for the rocket to launch (it did without issue) and anything after was gravy. Unfortunately it didn't separate successfully. Please separate the lovely scientists of SpaceX and Grifter Extraordinaire Elon; shit on him all day, leave them be.","Apr 21, 2023 · 9:20 PM UTC"
@arunnair3000ad,Not a fan of elon but you are shitting on all the hardworking engineers and personnel at SpaceX. This was a test flight also the explosion was planned so the whole thing doesn't collapse down to earth in one piece w all that fuel.,"Apr 21, 2023 · 9:13 PM UTC"
@biscottino_eth,It's sad because most of the hate and trolling was rooted in their anger towards Elon. The hate that was thrown at @SpaceX didnt take into consideration the number of people who are dedicating their lives to innovation and how much hard work went into that launch.,"Apr 21, 2023 · 9:08 PM UTC"
@LateStartRacing,The accolades given to Elon and SpaceX by some on this site who should know better always baffle me. The dude has proven over and over he just doesn’t give a shit,"Apr 21, 2023 · 8:59 PM UTC"
@GregoryKozak,"Why isn't @SpaceX required to pick up the trash from @elonmusk's failed phallic symbol that plunged into the Gulf of Mexico?

I get fined for dropping a paper cup out the window of my car; Elon gets to shit all over the Gulf w/ zero consequences.","Apr 21, 2023 · 8:46 PM UTC"
@guy_next_to_me,100% behind Elon and SpaceX - also totally understand how enterprises learn from mistakes - but telling me that what I saw yesterday was a “success” seems a whole lot like pissing on my back and telling me it’s raining.  Can’t wait for the next try! 🚀,"Apr 21, 2023 · 8:22 PM UTC"
@BigBbyXenoSama,The us government paid SpaceX and elon has paid out of pocket because of the government. Not your place to talk shit.,"Apr 21, 2023 · 8:01 PM UTC"
@overtoast,"I really don't give a shit about elon musk. Spacex is on the map because they blew up rockets in pursuit of an impossible goal. This isn't any different. 
Why don't you attack spacex for legitimate reasons, like building a space launch center in the middle of a wildlife preserve?","Apr 21, 2023 · 7:54 PM UTC"
@surrealix,"I hate Elon but this is not a valid argument. Elon sucks at running Twitter... BUT... he has done a very good job running SpaceX (which I'll admit, it hurts me to say,) and this explosion was not an issue. This was the first test flight for this rocket, and their goal was (1/2)","Apr 21, 2023 · 7:52 PM UTC"
@ernkrum,Elon you blow those thing so fuckin hard !! Awesome 👏🚀🚀🚀,"Apr 21, 2023 · 7:49 PM UTC"
@mindaltering5,"I dont know dude, Elon probably doesnt know a lot about rockets considering the fact he pays an entire team to know that kinda shit.","Apr 21, 2023 · 7:25 PM UTC"
@AcidMancer,"This is why i pick elon he has demonstrated a unique ability to scale complex things extremely quickly with no fluff tesla, and spacex are a testament to that","Apr 21, 2023 · 7:18 PM UTC"
@SIMCONTROL1,"It’s not about space, Elon Musk is a racist son of a bitch who supports people who rapes children, until he is gone from Tesla and SpaceX nobody gonna support it!","Apr 21, 2023 · 6:50 PM UTC"
@Richard96396263,"The Dick Ryder Show is back! on YouTube and Twitter. Join me for brand-new episodes to discuss the latest news about Twitter, Elon, AI, Tesla, and SpaceX. I can't wait to share this journey again! #DickRyderShow #BackInAction #YouTube #Elon #SpaceX #Twitter #TwitterBlue","Apr 21, 2023 · 6:25 PM UTC"
@Killgarth_LTC,"Doing what? Building missiles for Raytheon? Building warships and warplanes for Fairchild? Elon is a fucking dweeb, but Space exploration, and by extensions SpaceX is based, and also a good, and peaceful use of Engineering skill.","Apr 21, 2023 · 6:06 PM UTC"
